Condition,List,ProblemStim,AnswerStim1,AnswerStim2,AnswerStim3,CorrectAnswer,solution,TrialNum
Recognition,4,hammer/gear/hunter,head,remember,delay,1,head,19
Recognition,4,way/board/sleep,grandmother,intend,walk,3,walk,20
Recognition,4,cover/arm/wear,under,face,roof,1,under,21
Recognition,4,mouse/bear/sand,invincible,trap,wash,2,trap,22
Recognition,4,fork/dark/man,melted,rod,pitch,3,pitch,23
Recognition,4,man/glue/star,super,weight,plausible,1,super,24
Recognition,4,mail/board/lung,elite,friction,black,3,black,25
Recognition,4,rope/truck/line,tow,different,market,1,tow,26
Recognition,4,note/chain/master,capricious,key,scream,2,key,27
Recognition,4,baby/spring/cap,most,shower,groan,2,shower,28
Recognition,4,roll/bean/fish,old,soothe,jelly,3,jelly,29
Recognition,4,tomato/bomb/picker,cherry,hard,zoom,1,cherry,30
Recognition,4,fight/control/machine,baby,compare,gun,3,gun,31
Recognition,4,end/line/lock,allow,dead,zoom,2,dead,32
Recognition,4,pet/bottom/garden,minute,rock,compare,2,rock,33
Recognition,4,land/hand/house,farm,happy,shaky,1,farm,34
Recognition,4,way/ground/weather,loaf,puzzle,fair,3,fair,35
Recognition,4,over/plant/horse,romantic,power,repeat,2,power,36
